Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i3-8145U Processor,Launched,Q3'18,2,3.90 GHz,2.10 GHz,4 MB 
Intel Core i3-8130U Processor,Launched,Q1'18,2,3.40 GHz,2.20 GHz,4 MB 
Intel Core i3-8109U Processor,Launched,Q2'18,2,3.60 GHz,3.00 GHz,4 MB 
Intel Core i3-8100H Processor,Launched,Q3'18,4,,3.00 GHz,6 MB 
Intel Core i3-8100B Processor,Launched,Q3 '18,4,,3.60 GHz,6 MB 
Intel Core i3-8100 Processor,Launched,Q4'17,4,,3.60 GHz,6 MB 
Intel Core i3-8100T Processor,Launched,Q2'18,4,,3.10 GHz,6 MB 
Intel Core m3-8100Y Processor,Launched,Q3'18,2,3.40 GHz,1.10 GHz,4 MB 
Intel Core i7-7920HQ Processor,Launched,Q1'17,4,4.10 GHz,3.10 GHz,8 MB
Intel Core i7-7820HQ Processor,Launched,Q1'17,4,3.90 GHz,2.90 GHz,8 MB
Intel Core i7-7820HK Processor,Launched,Q1'17,4,3.90 GHz,2.90 GHz,8 MB
Intel Core i7-7820EQ Processor,Launched,Q1'17,4,3.70 GHz,3.00 GHz,8 MB
Intel Core i7-7700HQ Processor,Launched,Q1'17,4,3.80 GHz,2.80 GHz,6 MB
Intel Core i7-7700 Processor,Launched,Q1'17,4,4.20 GHz,3.60 GHz,8 MB 
Intel Core i7-7700K Processor,Launched,Q1'17,4,4.50 GHz,4.20 GHz,8 MB 
Intel Core i7-7700T Processor,Launched,Q1'17,4,3.80 GHz,2.90 GHz,8 MB 
Intel Core i7-7660U Processor,Launched,Q1'17,2,4.00 GHz,2.50 GHz,4 MB
Intel Core i7-7600U Processor,Launched,Q1'17,2,3.90 GHz,2.80 GHz,4 MB 
Intel Core i7-7567U Processor,Launched,Q1'17,2,4.00 GHz,3.50 GHz,4 MB
Intel Core i7-7560U Processor,Launched,Q1'17,2,3.80 GHz,2.40 GHz,4 MB
Intel Core i7-7500U Processor,Launched,Q3'16,2,3.50 GHz,2.70 GHz,4 MB 
Intel Core i7-7Y75 Processor,Launched,Q3'16,2,3.60 GHz,1.30 GHz,4 MB 
Intel Core i5-7600K Processor,Launched,Q1'17,4,4.20 GHz,3.80 GHz,6 MB 
Intel Core i5-7600T Processor,Launched,Q1'17,4,3.70 GHz,2.80 GHz,6 MB 
